Accession,STD Annot.,Lab Annot.,Curated Loc.,TAIR Loc.
AT2G10940.1,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein; FUNCTIONS IN: lipid binding; INVOLVED IN: lipid transport; LOCATED IN: chloroplast thylakoid membrane, apoplast, chloroplast, membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Bifunctional inhibitor/plant lipid transfer protein/seed storage (InterPro:IPR016140), Plant lipid transfer protein/seed storage/trypsin-alpha amylase inhibitor (InterPro:IPR003612), Plant lipid transfer protein/hydrophobic protein, helical domain (InterPro:IPR013770); BEST Arabidopsis thaliana protein match is: Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (TAIR:AT3G22142.1); Has 46369 Blast hits to 18572 proteins in 1334 species: Archae - 186; Bacteria - 10981; Metazoa - 15875; Fungi - 3500; Plants - 7556; Viruses - 1597; Other Eukaryotes - 6674 (source: NCBI BLink).",protease inhibitor/seed storage/lipid transfer protein (LTP) family,plastid,thylakoid membrane (sensu Viridiplantae)
AT2G10940.2,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein; FUNCTIONS IN: lipid binding; INVOLVED IN: lipid transport; LOCATED IN: chloroplast thylakoid membrane, apoplast, chloroplast, membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Bifunctional inhibitor/plant lipid transfer protein/seed storage (InterPro:IPR016140), Plant lipid transfer protein/seed storage/trypsin-alpha amylase inhibitor (InterPro:IPR003612), Plant lipid transfer protein/hydrophobic protein, helical domain (InterPro:IPR013770); BEST Arabidopsis thaliana protein match is: Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (TAIR:AT3G22142.1); Has 46369 Blast hits to 18572 proteins in 1334 species: Archae - 186; Bacteria - 10981; Metazoa - 15875; Fungi - 3500; Plants - 7556; Viruses - 1597; Other Eukaryotes - 6674 (source: NCBI BLink).",protease inhibitor/seed storage/lipid transfer protein (LTP) family,plastid,thylakoid membrane (sensu Viridiplantae)
AT2G14750.1,APS kinase ,Adenosine-5'-phosphosulfate kinase 1 (APK1),stroma,plastid
AT2G15290.1,translocon at inner membrane of chloroplasts 21 ,PIC1 (also Tic21; cia5)  - Fe transporter,envelope-inner-integral,
AT2G15570.1,Thioredoxin superfamily protein ,thioredoxin m3,plastid,
AT2G15570.2,chloroplast protein similar to prokaryotic thioredoxin.,thioredoxin m3,plastid,
AT2G15620.1,nitrite reductase 1 ,nitrite reductase (ferredoxin),plastid stroma,mitochondrion
AT2G16070.1,"An integral outer envelope membrane protein (its homolog in A thaliana PDV1), component of the plastid division machinery. Similar to ARC6, PDV2 localizes to a continuous ring at the division site in wild-type plants. PDV1 and PDV2 are required for localization of ARC5 at the chloroplast division site.",Plastid Division 2 (PDV2) (gene model 1 & 2 different in N-terminus),envelope-outer,
AT2G16070.2,plastid division2 ,Plastid Division 2 (PDV2) (gene model 1 & 2 different in N-terminus),envelope-outer,
AT2G16640.1,multimeric translocon complex in the outer envelope membrane 132 ,Toc132,envelope-outer,chloroplast outer membrane
AT2G17265.1,homoserine kinase ,"homoserine kinase, also downy mildew resistance 1 (dmr1)",plastid,chloroplast stroma
AT2G17695.1,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; CONTAINS InterPro DOMAIN/s: Domain of unknown function DUF1990 (InterPro:IPR018960); Has 259 Blast hits to 259 proteins in 120 species: Archae - 0; Bacteria - 197; Metazoa - 0; Fungi - 0; Plants - 57; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).,unknown protein,envelope,
AT2G17695.2,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; CONTAINS InterPro DOMAIN/s: Domain of unknown function DUF1990 (InterPro:IPR018960); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,unknown protein,envelope,
AT2G17695.3,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: Domain of unknown function DUF1990 (InterPro:IPR018960). ,unknown protein,envelope,
AT2G17972.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; Has 34 Blast hits to 3",unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT2G18710.1,SECY homolog 1 ,cpSecY,thylakoid-integral,
AT2G18940.1,Tetratricopeptide repeat (TPR)-like superfamily protein ,maize orthologue of pentatricopeptide repeat 10 (PPR10) - binds to atpH and psaJ,plastid nucleoid,
AT2G18950.1,homogentisate phytyltransferase 1 ,vte2 - homogentisate phytyltransferase  (HPT1),plastid,
AT2G19490.1,recA DNA recombination family protein ,recA family protein (RecA2) -  dually targeted mito & plastid,stroma; mitochondria,
AT2G19870.1,tRNA/rRNA methyltransferase (SpoU) family protein ,tRNA/rRNA methyltransferase (SpoU) family protein ,plastid nucleoid,
AT2G19940.1,"oxidoreductases, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;copper ion binding; FUNCTIONS IN: oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor, copper ion binding; INVOLVED IN: response to cadmium ion, cellular amino acid metabolic process; LOCATED IN: nucleolus, chloroplast stroma, chloroplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Semialdehyde dehydrogenase, dimerisation domain (InterPro:IPR012280), Semialdehyde dehydrogenase, NAD-binding (InterPro:IPR000534), N-acetyl-gamma-glutamyl-phosphate reductase (InterPro:IPR000706); Has 8034 Blast hits to 8033 proteins in 2187 species: Archae - 385; Bacteria - 4804; Metazoa - 0; Fungi - 163; Plants - 77; Viruses - 0; Other Eukaryotes - 2605 (source: NCBI BLink).",N-acetyl-gamma-glutamyl-phosphate reductase,plastid stroma,
AT2G19940.2,"oxidoreductases, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;copper ion binding ",N-acetyl-gamma-glutamyl-phosphate reductase,plastid stroma,
AT2G20020.1,RNA-binding CRS1 / YhbY (CRM) domain-containing protein ,CAF1 - splice factor group II intron,plastid,
AT2G20260.1,photosystem I subunit E-2 ,psaE-2 subunit IV - stromal side,thylakoid-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae)
AT2G20270.1,"Thioredoxin superfamily protein; FUNCTIONS IN: electron carrier activity, arsenate reductase (glutaredoxin) activity, protein disulfide oxidoreductase activity; INVOLVED IN: cell redox homeostasis; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Glutaredoxin (InterPro:IPR002109), Glutaredoxin subgroup (InterPro:IPR014025), Glutaredoxin, eukaryotic/virial (InterPro:IPR011899), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: Glutaredoxin family protein (TAIR:AT4G28730.1); Has 5647 Blast hits to 5632 proteins in 1225 species: Archae - 8; Bacteria - 2859; Metazoa - 470; Fungi - 354; Plants - 907; Viruses - 110; Other Eukaryotes - 939 (source: NCBI BLink).",glutaredoxin GRXS12,plastid stroma,
AT2G20270.2,"Thioredoxin superfamily protein; FUNCTIONS IN: electron carrier activity, arsenate reductase (glutaredoxin) activity, protein disulfide oxidoreductase activity; INVOLVED IN: cell redox homeostasis; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Glutaredoxin (InterPro:IPR002109), Glutaredoxin, eukaryotic/virial (InterPro:IPR011899), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: Glutaredoxin family protein (TAIR:AT4G28730.1).",glutaredoxin GRXS12,plastid stroma,
AT2G20690.1,lumazine-binding family protein ,riboflavin synthase alpha chain -related ,stroma,
AT2G20890.1,photosystem II reaction center PSB29 protein ,TF1 - thylakoid formation1,thylakoid-peripheral-stromal-side; envelope-inner-peripheral-stromal-side,thylakoid membrane (sensu Viridiplantae) & plastid stroma & chloroplast & plastid outer membrane & plastid inner membrane
AT2G20920.1,Protein of unknown function (DUF3353) ,weak homolog of CDF1 ,plastid,
AT2G21170.1,triosephosphate isomerase ,triosephosphate isomerase-1 (TPI-1),plastid stroma,mitochondrion
AT2G21170.2,"Encodes a plastidic triose phosphate isomerase. Mutants with reduced pdTPI levels have difficulty transitioning from heterotrophic to autotrophic growth. The related phenotypes, such as chlorosis in light-grown seedlings may result from an accumulation of dihydroxyacetone phosphate (DHAP) and methylglyoxal (MG) in these mutants. Both splice variants appear to be expressed, but the At2g21170.2 variant appears to have a much narrower expression range limited to roots.",triosephosphate isomerase-1 (TPI-1),plastid stroma,
AT2G21280.1,NAD(P)-binding Rossmann-fold superfamily protein ,GC1 (Giant Chloroplast 1) - plastid division,envelope-inner-peripheral-stromal-side,plastid
AT2G21330.1,fructose-bisphosphate aldolase 1 ,fructose-bisphosphate aldolase-1 (SFBA-1),plastid stroma,chloroplast stroma
AT2G21330.2,fructose-bisphosphate aldolase 1 ,fructose-bisphosphate aldolase-1 (SFBA-1),plastid stroma,chloroplast stroma
AT2G21330.3,fructose-bisphosphate aldolase 1 ,fructose-bisphosphate aldolase-1 (SFBA-1),plastid stroma,chloroplast stroma
AT2G21340.1,MATE efflux family protein ,MatE domain protein (transport),envelope,
AT2G21370.1,xylulose kinase-1 ,xylulose kinase (DXK2),plastid,cytoplasm
AT2G21370.2,"Although this gene has a sequence similar to xylulose kinases, several lines of experimental evidence suggest that it does not act on xylulose or deoxy-xylulose.",xylulose kinase (DXK2),plastid,cytoplasm
AT2G21385.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 49 Blast hits to 49 proteins",CGLD11 - assembly ATP synthase (dual chloro/mito),plastid stroma; mitochondria,
AT2G21385.2,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 49 Blast hits to 49 proteins in 20 species: Archae,CGLD11 - assembly ATP synthase (dual chloro/mito),plastid stroma; mitochondria,
AT2G21385.3,unknown protein.,CGLD11 - assembly ATP synthase (dual chloro/mito),plastid stroma; mitochondria,
AT2G21385.4,unknown protein.,CGLD11 - assembly ATP synthase (dual chloro/mito),plastid stroma; mitochondria,
AT2G21530.1,SMAD/FHA domain-containing protein  ,"unknown protein, forkhead domain",thylakoid-peripheral-stromal-side; plastid stroma,thylakoid membrane (sensu Viridiplantae)
AT2G21960.1,unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G56180.1); Has 224 Blast hits to 222 proteins in 59 species: Archae ,related to VIRESCENT3,plastid,
AT2G22230.1,Thioesterase superfamily protein ,"beta-hydroxyacyl-ACP dehydratase, plastid",plastid,
AT2G22250.1,Encodes a prokaryotic-type plastidic aspartate aminotransferase with glutamate/aspartate-prephenate aminotransferase (PAT) activity.,aspartate aminotransferase,plastid,
AT2G22250.2,Encodes a prokaryotic-type plastidic aspartate aminotransferase with glutamate/aspartate-prephenate aminotransferase (PAT) activity.,aspartate aminotransferase,plastid,
AT2G22250.3,aspartate aminotransferase ,aspartate aminotransferase,plastid,
AT2G22360.1,DNAJ heat shock family protein ,J-domain protein DjA6 (type 1),thylakoid,thylakoid membrane (sensu Viridiplantae)
AT2G22450.1,"riboflavin biosynthesis protein, putative; FUNCTIONS IN: 3,4-dihydroxy-2-butanone-4-phosphate synthase activity, GTP cyclohydrolase II activity; INVOLVED IN: riboflavin biosynthetic process; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: GTP cyclohydrolase II (InterPro:IPR000926), Riboflavin biosynthesis protein RibA (InterPro:IPR016299), DHBP synthase RibB (InterPro:IPR000422), DHBP synthase RibB-like alpha/beta domain (InterPro:IPR017945); BEST Arabidopsis thaliana protein match is: GTP cyclohydrolase II (TAIR:AT5G64300.1); Has 11284 Blast hits to 11282 proteins in 2317 species: Archae - 207; Bacteria - 6851; Metazoa - 1; Fungi - 301; Plants - 119; Viruses - 0; Other Eukaryotes - 3805 (source: NCBI BLink).","riboflavin biosynthesis protein, putative ",plastid,
AT2G22480.1,phosphofructokinase 5 ,phosphofructokinase family protein ,plastid stroma,
AT2G22870.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,GTPase EngB-1 (ENGB-1) (dual mito/plastid),plastid; mitochondria,
AT2G23070.1,Protein kinase superfamily protein ,alpha casein kinase 2 (CK 2acp)  interacts with CSK (At1g67840),plastid,
AT2G23670.1,homolog of Synechocystis YCF37 ,unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT2G24020.1,"Uncharacterised BCR, YbaB family COG0718 ",unknown protein YbaB family (DUF149),plastid stroma,thylakoid membrane (sensu Viridiplantae)
AT2G24020.2,"Uncharacterised BCR, YbaB family COG0718 ",unknown protein YbaB family (DUF149),plastid stroma,
AT2G24060.1,"Translation initiation factor 3 protein; FUNCTIONS IN: translation initiation factor activity; INVOLVED IN: translational initiation; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Translation initiation factor 3, N-terminal (InterPro:IPR019814), Translation initiation factor 3, conserved site (InterPro:IPR019813), Translation initiation factor 3, C-terminal (InterPro:IPR019815), Translation initiation factor 3 (InterPro:IPR001288); BEST Arabidopsis thaliana protein match is: Translation initiation factor 3 protein (TAIR:AT4G30690.1); Has 20358 Blast hits to 11134 proteins in 2694 species: Archae - 56; Bacteria - 8982; Metazoa - 2020; Fungi - 711; Plants - 802; Viruses - 337; Other Eukaryotes - 7450 (source: NCBI BLink).",translation initiation factor 3 (IF-3) family protein,plastid,
AT2G24090.1,Ribosomal protein L35 ,50S ribosomal protein L35 ,plastid ribosome,
AT2G24820.1,translocon at the inner envelope membrane of chloroplasts 55-II ,Tic55 - hydroxylase of Phyllobins (putative Rieske iron-sulfur protein).,envelope-inner-integral,
AT2G25080.1,Encodes glutathione peroxidase.,glutathione peroxidase 1 (GPX1),plastid stroma,thylakoid membrane (sensu Viridiplantae)
AT2G25830.1,YebC-related ,YebC-related,plastid stroma,
AT2G25840.1,"ovule abortion 4 (OVA4); FUNCTIONS IN: nucleotide binding, aminoacyl-tRNA ligase activity, tryptophan-tRNA ligase activity, ATP binding; INVOLVED IN: N-terminal protein myristoylation, tRNA aminoacylation for protein translation, ovule development; LOCATED IN: mitochondrion, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aminoacyl-tRNA synthetase, class I, conserved site (InterPro:IPR001412), Rossmann-like alpha/beta/alpha sandwich fold (InterPro:IPR014729), Tryptophanyl-tRNA synthetase, class Ib (InterPro:IPR002306), Aminoacyl-tRNA synthetase, class Ib (InterPro:IPR002305); Has 9074 Blast hits to 9053 proteins in 2715 species: Archae - 101; Bacteria - 5434; Metazoa - 147; Fungi - 137; Plants - 44; Viruses - 0; Other Eukaryotes - 3211 (source: NCBI BLink).",Trp-tRNA synthetase (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT2G25840.2,Nucleotidylyl transferase superfamily protein ,Trp-tRNA synthetase (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT2G25840.3,"ovule abortion 4 (OVA4); FUNCTIONS IN: aminoacyl-tRNA ligase activity, tryptophan-tRNA ligase activity, nucleotide binding, ATP binding; INVOLVED IN: tRNA aminoacylation for protein translation, ovule development; LOCATED IN: mitochondrion, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aminoacyl-tRNA synthetase, class I, conserved site (InterPro:IPR001412), Rossmann-like alpha/beta/alpha sandwich fold (InterPro:IPR014729), Tryptophanyl-tRNA synthetase, class Ib (InterPro:IPR002306), Aminoacyl-tRNA synthetase, class Ib (InterPro:IPR002305); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",Trp-tRNA synthetase (dual targeted - cTP/mTP),plastid stroma; mitochondria,mitochondrion & chloroplast
AT2G25870.1,haloacid dehalogenase-like hydrolase family protein ,haloacid dehalogenase-like hydrolase ,plastid,
AT2G26340.1,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast thylakoid lumen, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth s",unknown protein,thylakoid,thylakoid membrane (sensu Viridiplantae)
AT2G26340.2,unknown protein.,unknown protein,thylakoid,
AT2G26500.1,"cytochrome b6f complex subunit (petM), putative; FUNCTIONS IN: plastoquinol-plastocyanin reductase activity; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: PetM of cytochrome b6/f complex subunit 7 (InterPro:IPR012595); Has 54 Blast hits to 54 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 54; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",petM - 4 kDa Tat ltp,thylakoid-integral,thylakoid membrane (sensu Viridiplantae)
