"","Locus","Description","otherName"
"853","AT5G65430","member of 14-3-3 proteins. This protein is reported to interact with the BZR1 transcription factor involved in brassinosteroid signaling and may affect the nucleocytoplasmic shuttling of BZR1","14-3-3 PROTEIN G-BOX FACTOR14 KAPPA; 14-3-3KAPPA; ATMIN10; GENERAL REGULATORY FACTOR 8; GF14 KAPPA; GRF8"
"751","AT5G14220","Encodes PPO2, a putative protoporphyrinogen oxidase based on sequence homology.  Also known as MEE61 (maternal effect embryo arrest 61).  mee61 mutant shows arrested endosperm development.",""
"278","AT5G39590","TLD-domain containing nucleolar protein;(source:Araport11)","OXIDATION RESISTANCE 5; OXR5"
"407","AT1G55160","WAS/WASL-interacting family protein;(source:Araport11)",""
"406","AT1G45170","outer envelope pore 24B-like protein;(source:Araport11)",""
"718","AT5G39340","Encodes AHP3, one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs) involved in Histidine (His)-to-Aspartate (Asp) phosphorelay signal transduction. AHPs function as redundant positive regulators of cytokinin signaling. Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6).","AHP3; ARABIDOPSIS THALIANA HISTIDINE-CONTAINING PHOSPHOTRANSMITTER 2; ATHP2; HISTIDINE-CONTAINING PHOSPHOTRANSMITTER 3"
"769","AT5G23060","Encodes a  chloroplast-localized protein that modulates cytoplasmic Ca2+ concentration and is crucial for proper stomatal regulation in response to elevations of external Ca2+. Phosphorylation of this protein is dependent on calcium.","CALCIUM SENSING RECEPTOR; CAS"
"233","SCAFFOLD_303808.1","",""
"804","AT5G63560","HXXXD-type acyl-transferase family protein;(source:Araport11)","FACT; FATTY ALCOHOL:CAFFEOYL-COA CAFFEOYL TRANSFERASE"
"152","AT5G43470","Confers resistance to Peronospora parasitica. In arabidopsis ecotype Dijon-17, HRT-mediated signaling is dependent on light for the induction of  hypersensitive response and resistance to turnip crinkle virus.","HRT; HYPERSENSITIVE RESPONSE TO TCV; RCY1; RECOGNITION OF PERONOSPORA PARASITICA 8; RESISTANT TO CMV(Y) 1; RPP8"
"386","AT1G48850","chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase;(source:Araport11)","EMB1144; EMBRYO DEFECTIVE 1144"
"393","AT5G15970","Encodes a gene that can be induced by cold and abscisic acid and may be involved in cold acclimation and salt tolerance. The mRNA is cell-to-cell mobile.","ATCOR6.6; COLD-RESPONSIVE 6.6; COR6.6; KIN2"
"484","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).",""
"586","AT2G28430","zinc finger, C3HC4 type family protein;(source:Araport11)",""
"295","AT5G12170","Encodes one of the CRT-Like transporters (CLT1/AT5G19380, CLT2/AT4G24460, CLT3/AT5G12170). Required for glutathione homeostasis and stress responses.  Mutants lacking these transporters are heavy metal-sensitive, glutathione(GSH)-deficient, and hypersensitive to Phytophthora infection.The mRNA is cell-to-cell mobile.",""
"339","AT5G47960","Encodes a small molecular weight g-protein.","ATRABA4C; RAB GTPASE HOMOLOG A4C; RABA4C; SMALL MOLECULAR WEIGHT G-PROTEIN 1; SMG1"
"201","AT2G36990","Encodes a general sigma factor in chloroplasts and is probably responsible for the recognition of sigma 70 type standard bacteria-type multi-subunit RNA polymerase (PEP) promoters in young cotyledons.  It is a substrate for regulatory phosphorylation by cpCK2, a nuclear-coded plastid-targeted casein kinase 2, that has been implicated as a key component in plant sigma factor phosphorylation and transcriptional regulation.","ATSIG6; RNAPOLYMERASE SIGMA-SUBUNIT F; SIG6; SIGF; SIGMA FACTOR 6; SOLDAT8"
"691","AT5G05000","Outer membrane GTPase protein that may function in import of nuclear encoded proteins into the chloroplast. Phosphorylation of the G-domains regulate translocon assembly.","ARABIDOPSIS THALIANA TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 34; ATTOC34; OEP34; TOC34; TRANSLOCON AT THE OUTER ENVELOPE MEMBRANE OF CHLOROPLASTS 34"
"635","AT5G57860","Ubiquitin-like superfamily protein;(source:Araport11)",""
"605","AT5G44290","Protein kinase superfamily protein;(source:Araport11)",""
"744","ATCG01280","Chloroplast Ycf2;(source:Araport11)","YCF2.2"
"736","AT2G48070","Encodes a chloroplast protein RPH1 (resistance to Phytophthora 1).  Involved in immune response to Phytophthora brassicae.  rph1 mutant plants (in Ws background) are susceptible to P. brassicae.","RESISTANCE TO PHYTOPHTHORA 1; RPH1"
"206","AT5G15200","Ribosomal protein S4;(source:Araport11)",""
"309","AT5G63680","Pyruvate kinase family protein;(source:Araport11)",""
"394","AT5G16980","Zinc-binding dehydrogenase family protein;(source:Araport11)",""
"835","AT3G58840","Encodes PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR1. Involved in the morphogenesis and proliferation of peroxisomes and mitochondria.","PEROXISOMAL AND MITOCHONDRIAL DIVISION FACTOR 1; PMD1"
"952","AT5G25040","Major facilitator superfamily protein;(source:Araport11)",""
"382","AT5G44290","Protein kinase superfamily protein;(source:Araport11)",""
"472","AT5G54600","Translation protein SH3-like family protein;(source:Araport11)","PLASTID RIBOSOMAL PROTEIN L24; RPL24; SUPPRESSOR OF VARIEGATION 8; SVR8"
"471","AT5G21430","Chaperone DnaJ-domain superfamily protein;(source:Araport11)","CHLORORESPIRATORY REDUCTION L; CRRL; NADH DEHYDROGENASE-LIKE COMPLEX U; NDHU"
"351","ATCG01310","encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex","RIBOSOMAL PROTEIN L2; RPL2.2"
"673","AT5G37680","A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARL GTPases.","ADP-RIBOSYLATION FACTOR-LIKE A1A; ARLA1A; ATARLA1A"
"941","AT3G62910","Encodes a plastid-localized ribosome release factor 1 that is essential in chloroplast development. Pale green, albino mutant seedlings arrest early in seedling development.","ALBINO AND PALE GREEN; APG3; ARABIDOPSIS THALIANA CHLOROPLAST RF1; ATCPRF1; CHLOROPLAST RIBOSOME RELEASE FACTOR 1; CPRF1"
"317","AT5G40490","HLP1 is a member of the conserved hnRNP A/B family and contains RNA Recognition Motifs (RRM).It binds mRNA and appears to be involved in targeting alternative polyadenylation (APA). APA targets include genes involved in flowering. Loss of HLP1 function results causes late flowering under long and short day conditions. This phenotype is suppressed by loss of FLC.","HLP1; RBGD5; RNA-BINDING GLYCINE-RICH PROTEIN D5"
"432","ATCG01060","Encodes the PsaC subunit of photosystem I.","PSAC"
"704","AT4G01100","Adenine nucleotide transporter. Located in mitochondrion. Expressed in a broad range of tissues, but predominantly in root tips. Loss of function mutants exhibit reduced root growth and respiration.",""
"361","AT2G34630","Encodes a geranyl diphosphate synthase. RNAi lines are dwarf. T-DNA knock-out lines are embryo lethal.","GERANYL DIPHOSPHATE SYNTHASE 1; GERANYLPYROPHOSPHATE SYNTHASE; GPPS; GPS1"
"553","AT5G51110","Encodes a protein involved in Rubisco assembly that also mediates Abscisic acid-dependent stress response. It is a ubiquitination target of the intracellular E3 ligase SDIR1. It selectively regulates the expression of the downstream basic region/leucine zipper motif transcription factor gene ABA-INSENSITIVE5, rather than ABA-RESPONSIVE ELEMENTS BINDING FACTOR3 (ABF3) or ABF4, to regulate ABA-mediated seed germination and the plant salt response.","ATAIRP2 TARGET PROTEIN 1; ATP1; RAF2; RUBISCO ASSEMBLY FACTOR 2; SDIR1-INTERACTING PROTEIN1; SDIRIP1"
"167","AT5G50000","Protein kinase superfamily protein;(source:Araport11)",""
"320","AT5G61410","Arabidopsis thaliana ribulose-5-phosphate-3-epimerase mRNA","D-RIBULOSE-5-PHOSPHATE-3-EPIMERASE; RPE"
"910","AT5G43830","aluminum induced protein with YGL and LRDR motifs;(source:Araport11)",""
"940","AT2G16570","Amidophosphoribosyltransferase (ATase: EC 2.4.2.14) is a key enzyme in the pathway of purine nucleotide biosynthesis","ASE1; ATASE; ATASE1; GLN PHOSPHORIBOSYL PYROPHOSPHATE AMIDOTRANSFERASE 1"
"501","AT5G26742","DEAD box RNA helicase (RH3);(source:Araport11)","ATRH3; EMB1138; EMBRYO DEFECTIVE 1138; RH3"
"217","AT5G12040","Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein;(source:Araport11)",""
"975","ATCG00150","Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.","ATPI"
"632","AT5G13450","delta subunit of Mt ATP synthase;(source:Araport11)","ATP5; DELTA SUBUNIT OF MT ATP SYNTHASE"
"234","AT5G25040","Major facilitator superfamily protein;(source:Araport11)",""
"707","AT5G49190","Encodes a sucrose synthase (SUS2). The activity of the enzyme could not be assayed as proved to be insoluble (PMID 17257168). However, analyses of an sus2 mutant revealed a deficiency in sucrose synthase activity 12 and 15 days after flowering. There are some reports that SUS2 transcript levels are increased in leaves specifically by O(2) deficiency whereas other reports indicate that SUS2 is expressed only in seeds. Immulocalization shows that SUS2 is present in the cytosol of developing seeds, but, it also associated with plastids, though not located within them.",""
"705","AT1G30270","Arabidopsis thaliana CBL-interacting protein kinase 23.  CIPK23 serves as a positive regulator of the potassium transporter AKT1 by directly phosphorylating AKT1.  CIPK23 is activated by the binding of two calcineurin B-like proteins, CBL1 and CBL9.The mRNA is cell-to-cell mobile.",""
"763","AT5G54160","A caffeic acid/5-hydroxyferulic acid O-methyltransferase. Interacts with 14-4-3 proteins in yeast 2 hybrid assay.  AtOMT1 (At5g54160) encodes a flavonol 3?-O-methyltransferase that is highly active towards quercetin and myricetin. The substrate specificity identifies the enzyme as flavonol 3?-methyltransferase which replaces the former annotation of the gene to encode a caffeic acid/5-hydroxyferulic acid O-methyltransferase The mRNA is cell-to-cell mobile.","ATCOMT; ATOMT1; CAFFEATE O-METHYLTRANSFERASE 1; COMT1; O-METHYLTRANSFERASE 1; O-METHYLTRANSFERASE 3; OMT1; OMT3"
"327","AT3G46980","Encodes an inorganic phosphate transporter (PHT4;3).",""
"453","AT5G39340","Encodes AHP3, one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs) involved in Histidine (His)-to-Aspartate (Asp) phosphorelay signal transduction. AHPs function as redundant positive regulators of cytokinin signaling. Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6).",""
"854","AT5G23890","GPI-anchored adhesin-like protein;(source:Araport11)",""
"927","AT4G00860","putative pathogenesis-related protein whose transcript level is induced in response to ozone and pathogenic Pseudomonas strains.","ARABIDOPSIS THALIANA OZONE-INDUCED PROTEIN 1; AT0ZI1; ATOZI1"
"57","AT5G37850","Encodes a pyridoxal kinase required for root hair development. Mutants are hypersensitive to Na+, K+ and Li+.","ATSOS4; SALT OVERLY SENSITIVE 4; SOS4"
"134","AT1G25280","Member of TLP family","ATTLP10; TLP10; TUBBY LIKE PROTEIN 10"
"683","AT5G66530","Galactose mutarotase-like superfamily protein;(source:Araport11)",""
"832","AT5G51970","Encodes a putative sorbitol dehydrogenase that can be thiolated in vitro.","ATSDH; SORBITOL DEHYDROGENASE"
"64","AT5G63890","Encodes histidinol dehydrogenase. Up-regulated in response to UV-B.","ATHDH; HDH; HISN8; HISTIDINE BIOSYNTHESIS 8; HISTIDINOL DEHYDROGENASE"
"70","AT5G59613","ATP synthase;(source:Araport11)",""
"397","AT5G65250","transmembrane protein;(source:Araport11)",""
"556","AT2G37860","Encodes a protein involved in differential development of bundle sheath and mesophyll cell chloroplasts.","LCD1; LOWER CELL DENSITY 1; RE; RETICULATA"
"124","AT5G64350","Encodes FK506-binding protein 12 (FKBP12 or FKP12). FKP12 overexpression dramatically enhances rapamycin sensitivity, whereas rapamycin inhibition is relieved in transgenic plants deficient in FKP12.","ARABIDOPSIS THALIANA FK506-BINDING PROTEIN 12; ATFKBP12; FK506-BINDING PROTEIN 12; FKBP12; FKP12"
"131","AT3G60590","cytochrome P450 family protein;(source:Araport11)",""
"338","AT5G46540","P-glycoprotein 7;(source:Araport11)","ABCB7; ATP-BINDING CASSETTE B7; P-GLYCOPROTEIN  7; PGP7"
"610","AT5G25040","Major facilitator superfamily protein;(source:Araport11)",""
"781","AT5G47210","Hyaluronan / mRNA binding family;(source:Araport11)",""
"353","AT5G55125","Ribosomal protein L31;(source:Araport11)",""
"12","AT5G28050","Cytidine/deoxycytidylate deaminase family protein;(source:Araport11)",""
"4","AT5G35360","Encodes biotin carboxylase subunit (CAC2).","ACETYL CO-ENZYME A CARBOXYLASE BIOTIN CARBOXYLASE SUBUNIT; CAC2"
"767","AT5G62630","hipl2 protein precursor;(source:Araport11)","HIPL2; HIPL2 PROTEIN PRECURSOR"
"856","AT5G46800","Seedling lethal mutation; Mitochondrial Carnitine Acyl Carrier-Like Protein","A BOUT DE SOUFFLE; BOU"
"938","AT5G41761","hypothetical protein;(source:Araport11)",""
"924","AT5G63650","encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.","SNF1-RELATED PROTEIN KINASE 2.5; SNF1-RELATED PROTEIN KINASE 2H; SNRK2-5; SNRK2.5; SRK2H"
"402","AT5G50000","Protein kinase superfamily protein;(source:Araport11)",""
"224","AT3G25680","SLH domain protein;(source:Araport11)",""
"513","ATCG00830","encodes a chloroplast ribosomal protein L2, a constituent of the large subunit of the ribosomal complex","RIBOSOMAL PROTEIN L2; RPL2.1"
"598","AT5G04590","A.thaliana gene encoding sulfite reductase.","SIR; SULFITE REDUCTASE"
"19","AT3G17970","Integral chloroplast outer membrane protein. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","ATTOC64-III; TOC64-III; TRANSLOCON AT THE OUTER MEMBRANE OF CHLOROPLASTS 64-III"
"95","AT5G54430","Contains a universal stress protein domain. Protein is phosphorylated in response to Phytophthora infestans zoospores and xylanase.","ATPHOS32; PHOS32"
"212","AT5G50640","CBS/octicosapeptide/phox/Bemp1 domain protein;(source:Araport11)",""
"659","AT5G35620","Cap-binding protein, binds to the 5' cap structure of nuclear-encoded mRNAs.  Mutant is resistant to potyvirus infection.","EIF(ISO)4E; EIF4E2; EIFISO4E; EUKARYOTIC INITIATION FACTOR  (ISO)4E; EUKARYOTIC TRANSLATION INITATION FACTOR 4E2; EUKARYOTIC TRANSLATION INITIATION FACTOR ISOFORM 4E; LOSS OF SUSCEPTIBILITY TO POTYVIRUS 1; LSP; LSP1"
"525","ATCG00130","ATPase F subunit.","ATPF"
"890","AT5G21326","Ca2+regulated serine-threonine protein kinase family protein;(source:Araport11)","CALCINEURIN B-LIKE PROTEIN (CBL)-INTERACTING PROTEIN KINASE 26; CIPK26"
"663","AT4G00630","Encodes a K(+)/H(+) antiporter that modulates monovalent cation and pH homeostasis in plant chloroplasts or plastids.","K+ EFFLUX ANTIPORTER 2; KEA2"
"273","AT5G48385","FRIGIDA-like protein;(source:Araport11)",""
"290","ATCG00860","Encodes an unknown protein. This gene is regulated by AtSIG6 transcriptionally.Strong interaction with TIC inner envelope protein translocon which consists of Tic20/Tic56/Tic100/Tic214(Ycf1)(DOI:10.1105/tpc.18.00357).","YCF2.1"
